pc1,pc2,cluster,predicted_species,true_species
-2.2647028088075865,0.48002659652099006,1,setosa,setosa
-2.080961151965766,-0.674133556605352,1,setosa,setosa
-2.364229053890299,-0.34190802388467545,1,setosa,setosa
-2.2993842170427063,-0.5973945076746751,1,setosa,setosa
-2.389842166313843,0.6468353829020277,1,setosa,setosa
-2.0756309481765105,1.489177523321167,1,setosa,setosa
-2.4440288351341506,0.04764419763001464,1,setosa,setosa
-2.2328471588720133,0.2231480726895924,1,setosa,setosa
-2.3346404779076195,-1.1153276754616657,1,setosa,setosa
-2.1843281749339405,-0.46901356140237493,1,setosa,setosa
-2.1663101007013204,1.0436906530538606,1,setosa,setosa
-2.3261308664426967,0.13307833523923215,1,setosa,setosa
-2.218450898822408,-0.7286761653165699,1,setosa,setosa
-2.633100695765226,-0.9615067291701622,1,setosa,setosa
-2.198740603266688,1.860057113293932,1,setosa,setosa
-2.2622145316010194,2.6862844851105923,1,setosa,setosa
-2.2075876958245906,1.4836093631555731,1,setosa,setosa
-2.190349509192297,0.4888383164863284,1,setosa,setosa
-1.8985719958028402,1.4050187944665498,1,setosa,setosa
-2.343369053074991,1.1278493819084765,1,setosa,setosa
-1.9143229960825663,0.40885570775590696,1,setosa,setosa
-2.207012843194797,0.9241214267468989,1,setosa,setosa
-2.77434470292733,0.4583436677529161,1,setosa,setosa
-1.8186695286958476,0.08555852628736667,1,setosa,setosa
-2.227163305706637,0.13725445536342767,1,setosa,setosa
-1.9518463309003744,-0.6256185877766758,1,setosa,setosa
-2.051151372729414,0.24216355266166764,1,setosa,setosa
-2.1685771746542146,0.5271495253082681,1,setosa,setosa
-2.1395634513013295,0.31321781013995265,1,setosa,setosa
-2.265261493154239,-0.3377319037604799,1,setosa,setosa
-2.1401221356479825,-0.5045406901415177,1,setosa,setosa
-1.8315947706760267,0.42369506760378667,1,setosa,setosa
-2.6149479358589325,1.793575856104429,1,setosa,setosa
-2.4461773916965126,2.150727877392925,1,setosa,setosa
-2.1099748753186507,-0.4602018414370366,1,setosa,setosa
-2.207808899078264,-0.20610739768843603,1,setosa,setosa
-2.0451462067541994,0.6615581114631089,1,setosa,setosa
-2.527331913170484,0.5922927741908102,1,setosa,setosa
-2.429632575084544,-0.9041800403761473,1,setosa,setosa
-2.1697107116306618,0.2688789614354716,1,setosa,setosa
-2.2864751433456685,0.44171538769905067,1,setosa,setosa
-1.85812245637357,-2.337415157553347,1,setosa,setosa
-2.553638395614354,-0.4791006901223134,1,setosa,setosa
-1.9644476837637392,0.4723266677192613,1,setosa,setosa
-2.1370590058116212,1.1422292620394088,1,setosa,setosa
-2.0697442995918283,-0.7110527253858931,1,setosa,setosa
-2.3847331657782607,1.1204297019845366,1,setosa,setosa
-2.394376314219631,-0.3862468725891566,1,setosa,setosa
-2.2294465479426724,0.997959764307981,1,setosa,setosa
-2.2038334355191282,0.009216357521276952,1,setosa,setosa
1.1017811830529478,0.8629724182621589,2,virginica,versicolor
0.7313374253960875,0.5946147256694244,2,virginica,versicolor
1.240979319515831,0.6162976544374983,2,virginica,versicolor
0.407483058817385,-1.7544039893234102,0,versicolor,versicolor
1.075474700609078,-0.20842104605096548,0,versicolor,versicolor
0.38868733653566495,-0.5932836359900754,0,versicolor,versicolor
0.7465297413291607,0.7730193120985961,2,virginica,versicolor
-0.48732274212563925,-1.852429086857574,0,versicolor,versicolor
0.9279016383549452,0.032226077891153934,0,versicolor,versicolor
0.01142618873698039,-1.034018275129441,0,versicolor,versicolor
-0.1101962800006289,-2.654072818536564,0,versicolor,versicolor
0.4406934489830784,-0.0632951884380016,0,versicolor,versicolor
0.5621083064431789,-1.7647243806169446,0,versicolor,versicolor
0.7195618886754965,-0.18622460583150593,0,versicolor,versicolor
-0.03335470317877198,-0.4390032099816246,0,versicolor,versicolor
